year,num_stars,num_planets,num_habitable_planets,num_life,num_complex_life,num_intelligent_life,num_cultural_life,N,N_extinct,RS,FP,NE,FL,FI,FC,L,YEARS_PLANETS_TO_HABITABLE,YEARS_HABITABLE_TO_LIFE,YEARS_LIFE_TO_COMPLEX_LIFE,YEARS_COMPLEX_TO_INTELLIGENCE,YEARS_INTELLIGENCE_TO_CULTURE,YEARS_CULTURE_TO_TECH,EXTINCTION_SIMPLE,EXTINCTION_COMPLEX,EXTINCTION_INTELLIGENT,EXTINCTION_CULTURAL,WEIBULL_SHAPE_PARAMETER,WEIBULL_SCALE_PARAMETER
1000000000,43454957034.507866,43454957.03450779,17472832.37810816,131.21968200240678,0.0174756263513942,0.0046003468213295234,-1.904458669527486e-08,-8.259908801961731e-12,-2.007664927797645e-09,2,0.5,0.02,0.1,0.01,1.0,1000,1000000000,5000000000,1000000000,1000000,2000000,200000,5000000000,200000000,10000,100000,0.4,750
1000000000,43454957034.507866,86909914069.01573,20398609159.828865,3679792.3107920084,19.17441643474052,0.00023807606318843912,9.698984173233952e-09,-4.4498759437653936e-13,-1.0628444976362541e-10,2,2.0,1.0,1.0,0.01,0.1,1000,2000000000,1000000000,5000000000,200000000,2000000,1000,2000000000,200000000,100000,10000,0.9,100
1000000000,43454957034.507866,2172747851.7253904,873641618.9054081,6560.984100120329,86.18752450235777,85.86662502005426,7.716332290439844,-0.00035408256034408225,-0.08829118017154639,2,0.05,1.0,1.0,1.0,1.0,10000,1000000000,5000000000,100000000,100000,2000000,10000,1000000000,1000000000,200000000,10000,0.8,10000
1000000000,57485331164.88402,28742665.58244201,11958501.855652161,2293.273956779454,30.428264748881404,0.07967615125489576,9.592229863589946e-05,3.851154853486617e-09,6.586532958786316e-07,3,0.5,0.1,0.01,0.01,0.01,1000000,1000000000,1000000000,100000000,200000000,20000000,2000000,5000000000,200000000,1000000000,100000,0.7,1000
1000000000,57485331164.88402,28742665.58244201,11958501.855652161,224954.1827033553,30.506639186544984,5.6887126856340346e-05,4.1700998871244646e-05,-2.1696355128282877e-09,-5.330337707889247e-07,3,0.5,0.1,0.01,1.0,0.1,100000,1000000000,100000000,1000000000,1000000000,10000,1000,1000000000,2000000000,1000000,1000,1.0,250
1000000000,57485331164.88402,2874266558.2441998,1195850185.5652142,9179.18068189553,1.2410025675520926,0.00013029626674745845,0.00012745983052475315,1.1389285643996292e-05,0.0019736375628766215,3,0.5,0.1,1.0,0.1,1.0,100,1000000000,5000000000,1000000000,1000000000,100000,2000000,2000000000,1000000000,1000000000,10000000,0.6,500
1000000000,57485331164.88402,1149706623.297681,478340074.22608644,3671.6722727582182,48.716116663757646,0.002732688926670398,0.0017152186510477712,0.0016312664457238803,0.3077199104775283,3,2.0,0.1,0.1,0.01,1.0,1000,1000000000,5000000000,100000000,1000000000,100000,200000,1000000000,200000000,10000000,10000000,0.5,5000
1000000000,24800503720.321625,1984040297.6257305,314751741.4156632,2194.174184134708,0.002806901770544806,2.0645133230890317e-06,1.829370901347712e-09,-7.0564806637481e-14,-1.7305433087716862e-11,1,0.2,0.4,1.0,0.1,0.1,1000000,3000000000,5000000000,10000000000,50000000,20000000,200000,5000000000,2000000000,1000000,10000,0.7,10000
1000000000,43454957034.507866,43454957.034507796,17472832.378108162,3278.322731535352,0.43770269988718497,0.4260938509341423,0.06218166236199317,0.0437356316313046,9.137423054730483,2,0.05,0.02,1.0,0.1,0.01,100000,1000000000,1000000000,1000000000,1000000,2000000,200000,2000000000,1000000000,10000000,1000000,1.0,50000
1000000000,43454957034.507866,434549570.3450777,174728323.7810814,3216337.9680773714,17.23748961987019,4.537749847981728,-5.727184872232575e-07,-4.031149409534114e-07,-0.00010041752569307479,2,0.5,0.02,1.0,0.01,0.1,1000000,1000000000,100000000,5000000000,1000000,20000000,200000,200000000,1000000000,10000,1000000,0.6,500
